Position,Team,Games Played,Win,Draw,Loss,Goals For,Goals Against,Goal Difference,Points
1,Spain,7,6,0,1,8,2,6,18
2,Netherlands,7,6,0,1,12,6,6,18
3,Germany,7,5,0,2,16,5,11,15
4,Uruguay,7,3,2,2,11,8,3,11
5,Argentina,5,4,0,1,10,6,4,12
6,Brazil,5,3,1,1,9,4,5,10
7,Ghana,5,2,2,1,5,4,1,8
8,Paraguay,5,1,3,1,3,2,1,6
9,Japan,4,2,1,1,4,2,2,7
10,Chile,4,2,0,2,3,5,−2,6
11,Portugal,4,1,2,1,7,1,6,5
12,United States,4,1,2,1,5,5,0,5
13,England,4,1,2,1,3,5,−2,5
14,Mexico,4,1,1,2,4,5,−1,4
15,South Korea,4,1,1,2,6,8,−2,4
16,Slovakia,4,1,1,2,5,7,−2,4
17,Ivory Coast,3,1,1,1,4,3,1,4
18,Slovenia,3,1,1,1,3,3,0,4
19,Switzerland,3,1,1,1,1,1,0,4
20,South Africa,3,1,1,1,3,5,−2,4
21,Australia,3,1,1,1,3,6,−3,4
22,New Zealand,3,0,3,0,2,2,0,3
23,Serbia,3,1,0,2,2,3,−1,3
24,Denmark,3,1,0,2,3,6,−3,3
25,Greece,3,1,0,2,2,5,−3,3
26,Italy,3,0,2,1,4,5,−1,2
27,Nigeria,3,0,1,2,3,5,−2,1
28,Algeria,3,0,1,2,0,2,−2,1
29,France,3,0,1,2,1,4,−3,1
30,Honduras,3,0,1,2,0,3,−3,1
31,Cameroon,3,0,0,3,2,5,−3,0
32,North Korea,3,0,0,3,1,12,−11,0
