Position,Team,Games Played,Win,Draw,Loss,Goals For,Goals Against,Goal Difference,Points
1,West Germany,7,6,0,1,13,4,9,12
2,Netherlands,7,5,1,1,15,3,12,11
3,Poland,7,6,0,1,16,5,11,12
4,Brazil,7,3,2,2,6,4,2,8
5,Sweden,6,2,2,2,7,6,1,6
6,East Germany,6,2,2,2,5,5,0,6
7,Yugoslavia,6,1,2,3,12,7,5,4
8,Argentina,6,1,2,3,9,12,−3,4
9,Scotland,3,1,2,0,3,1,2,4
10,Italy,3,1,1,1,5,4,1,3
11,Chile,3,0,2,1,1,2,−1,2
12,Bulgaria,3,0,2,1,2,5,−3,2
13,Uruguay,3,0,1,2,1,6,−5,1
14,Australia,3,0,1,2,0,5,−5,1
15,Haiti,3,0,0,3,2,14,−12,0
16,Zaire,3,0,0,3,0,14,−14,0
