Position,Team,Games Played,Win,Draw,Loss,Goals For,Goals Against,Goal Difference,Points
1,Argentina,7,5,1,1,15,4,11,11
2,Netherlands,7,3,2,2,15,10,5,8
3,Brazil,7,4,3,0,10,3,7,11
4,Italy,7,4,1,2,9,6,3,9
5,Poland,6,3,1,2,6,6,0,7
6,West Germany,6,1,4,1,10,5,5,6
7,Austria,6,3,0,3,7,10,−3,6
8,Peru,6,2,1,3,7,12,−5,5
9,Tunisia,3,1,1,1,3,2,1,3
10,Spain,3,1,1,1,2,2,0,3
11,Scotland,3,1,1,1,5,6,−1,3
12,France,3,1,0,2,5,5,0,2
13,Sweden,3,0,1,2,1,3,−2,1
14,Iran,3,0,1,2,2,8,−6,1
15,Hungary,3,0,0,3,3,8,−5,0
16,Mexico,3,0,0,3,2,12,−10,0
