Position,Team,Games Played,Win,Draw,Loss,Goals For,Goals Against,Goal Difference,Points
1,Italy,4,3,1,0,11,3,8,7
2,Czechoslovakia,4,3,0,1,9,6,3,6
3,Germany,4,3,0,1,11,8,3,6
4,Austria,4,2,0,2,7,7,0,4
5,Spain,2,1,1,0,4,2,2,3
6,Hungary,2,1,0,1,5,4,1,2
7,Switzerland,2,1,0,1,5,5,0,2
8,Sweden,2,1,0,1,4,4,0,2
9,Argentina,1,0,0,1,2,3,−1,0
9,France,1,0,0,1,2,3,−1,0
9,Netherlands,1,0,0,1,2,3,−1,0
12,Romania,1,0,0,1,1,2,−1,0
13,Egypt,1,0,0,1,2,4,−2,0
14,Brazil,1,0,0,1,1,3,−2,0
15,Belgium,1,0,0,1,2,5,−3,0
16,United States,1,0,0,1,1,7,−6,0
