Position,Team,Games Played,Win,Draw,Loss,Goals For,Goals Against,Goal Difference,Points
1,Brazil,7,7,0,0,18,4,14,21
2,Germany,7,5,1,1,14,3,11,16
3,Turkey,7,4,1,2,10,6,4,13
4,South Korea,7,3,2,2,8,6,2,11
5,Spain,5,3,2,0,10,5,5,11
6,England,5,2,2,1,6,3,3,8
7,Senegal,5,2,2,1,7,6,1,8
8,United States,5,2,1,2,7,7,0,7
9,Japan,4,2,1,1,5,3,2,7
10,Denmark,4,2,1,1,5,5,0,7
11,Mexico,4,2,1,1,4,4,0,7
12,Republic of Ireland,4,1,3,0,6,3,3,6
13,Sweden,4,1,2,1,5,5,0,5
14,Belgium,4,1,2,1,6,7,−1,5
15,Italy,4,1,1,2,5,5,0,4
16,Paraguay,4,1,1,2,6,7,−1,4
17,South Africa,3,1,1,1,5,5,0,4
18,Argentina,3,1,1,1,2,2,0,4
19,Costa Rica,3,1,1,1,5,6,−1,4
20,Cameroon,3,1,1,1,2,3,−1,4
21,Portugal,3,1,0,2,6,4,2,3
22,Russia,3,1,0,2,4,4,0,3
23,Croatia,3,1,0,2,2,3,−1,3
24,Ecuador,3,1,0,2,2,4,−2,3
25,Poland,3,1,0,2,3,7,−4,3
26,Uruguay,3,0,2,1,4,5,−1,2
27,Nigeria,3,0,1,2,1,3,−2,1
28,France,3,0,1,2,0,3,−3,1
29,Tunisia,3,0,1,2,1,5,−4,1
30,Slovenia,3,0,0,3,2,7,−5,0
31,China PR,3,0,0,3,0,9,−9,0
32,Saudi Arabia,3,0,0,3,0,12,−12,0
