Position,Team,Games Played,Win,Draw,Loss,Goals For,Goals Against,Goal Difference,Points
1,Germany,7,6,1,0,18,4,14,19
2,Argentina,7,5,1,1,8,4,4,16
3,Netherlands,7,5,2,0,15,4,11,17
4,Brazil,7,3,2,2,11,14,−3,11
5,Colombia,5,4,0,1,12,4,8,12
6,Belgium,5,4,0,1,6,3,3,12
7,France,5,3,1,1,10,3,7,10
8,Costa Rica,5,2,3,0,5,2,3,9
9,Chile,4,2,1,1,6,4,2,7
10,Mexico,4,2,1,1,5,3,2,7
11,Switzerland,4,2,0,2,7,7,0,6
12,Uruguay,4,2,0,2,4,6,−2,6
13,Greece,4,1,2,1,3,5,−2,5
14,Algeria,4,1,1,2,7,7,0,4
15,United States,4,1,1,2,5,6,−1,4
16,Nigeria,4,1,1,2,3,5,−2,4
17,Ecuador,3,1,1,1,3,3,0,4
18,Portugal,3,1,1,1,4,7,−3,4
19,Croatia,3,1,0,2,6,6,0,3
20,Bosnia and Herzegovina,3,1,0,2,4,4,0,3
21,Ivory Coast,3,1,0,2,4,5,−1,3
22,Italy,3,1,0,2,2,3,−1,3
23,Spain,3,1,0,2,4,7,−3,3
24,Russia,3,0,2,1,2,3,−1,2
25,Ghana,3,0,1,2,4,6,−2,1
26,England,3,0,1,2,2,4,−2,1
27,South Korea,3,0,1,2,3,6,−3,1
28,Iran,3,0,1,2,1,4,−3,1
29,Japan,3,0,1,2,2,6,−4,1
30,Australia,3,0,0,3,3,9,−6,0
31,Honduras,3,0,0,3,1,8,−7,0
32,Cameroon,3,0,0,3,1,9,−8,0
