Position,Team,Games Played,Win,Draw,Loss,Goals For,Goals Against,Goal Difference,Points
1,West Germany,6,5,0,1,25,14,11,10
2,Hungary,5,4,0,1,27,10,17,8
3,Austria,5,4,0,1,17,12,5,8
4,Uruguay,5,3,0,2,16,9,7,6
5,Switzerland,4,2,0,2,11,11,0,4
6,Brazil,3,1,1,1,8,5,3,3
7,England,3,1,1,1,8,8,0,3
8,Yugoslavia,3,1,1,1,2,3,−1,3
9,Turkey,3,1,0,2,10,11,−1,2
10,Italy,3,1,0,2,6,7,−1,2
11,France,2,1,0,1,3,3,0,2
12,Belgium,2,0,1,1,5,8,−3,1
13,Mexico,2,0,0,2,2,8,−6,0
14,Czechoslovakia,2,0,0,2,0,7,−7,0
15,Scotland,2,0,0,2,0,8,−8,0
16,South Korea,2,0,0,2,0,16,−16,0
