Position,Team,Games Played,Win,Draw,Loss,Goals For,Goals Against,Goal Difference,Points
1,England,6,5,1,0,11,3,8,11
2,West Germany,6,4,1,1,15,6,9,9
3,Portugal,6,5,0,1,17,8,9,10
4,Soviet Union,6,4,0,2,10,6,4,8
5,Argentina,4,2,1,1,4,2,2,5
6,Hungary,4,2,0,2,8,7,1,4
7,Uruguay,4,1,2,1,2,5,−3,4
8,North Korea,4,1,1,2,5,9,−4,3
9,Italy,3,1,0,2,2,2,0,2
10,Spain,3,1,0,2,4,5,−1,2
11,Brazil,3,1,0,2,4,6,−2,2
12,Mexico,3,0,2,1,1,3,−2,2
13,Chile,3,0,1,2,2,5,−3,1
13,France,3,0,1,2,2,5,−3,1
15,Bulgaria,3,0,0,3,1,8,−7,0
16,Switzerland,3,0,0,3,1,9,−8,0
