Position,Team,Games Played,Win,Draw,Loss,Goals For,Goals Against,Goal Difference,Points
1,Italy,7,4,3,0,12,6,6,11
2,West Germany,7,3,2,2,12,10,2,8
3,Poland,7,3,3,1,11,5,6,9
4,France,7,3,2,2,16,12,4,8
5,Brazil,5,4,0,1,15,6,9,8
6,England,5,3,2,0,6,1,5,8
7,Soviet Union,5,2,2,1,7,4,3,6
8,Austria,5,2,1,2,5,4,1,5
9,Northern Ireland,5,1,3,1,5,7,−2,5
10,Belgium,5,2,1,2,3,5,−2,5
11,Argentina,5,2,0,3,8,7,1,4
12,Spain,5,1,2,2,4,5,−1,4
13,Algeria,3,2,0,1,5,5,0,4
14,Hungary,3,1,1,1,12,6,6,3
15,Scotland,3,1,1,1,8,8,0,3
16,Yugoslavia,3,1,1,1,2,2,0,3
17,Cameroon,3,0,3,0,1,1,0,3
18,Honduras,3,0,2,1,2,3,−1,2
19,Czechoslovakia,3,0,2,1,2,4,−2,2
20,Peru,3,0,2,1,2,6,−4,2
21,Kuwait,3,0,1,2,2,6,−4,1
22,Chile,3,0,0,3,3,8,−5,0
23,New Zealand,3,0,0,3,2,12,−10,0
24,El Salvador,3,0,0,3,1,13,−12,0
