Position,Team,Games Played,Win,Draw,Loss,Goals For,Goals Against,Goal Difference,Points
1,Brazil,6,5,1,0,14,5,9,11
2,Czechoslovakia,6,3,1,2,7,7,0,7
3,Chile,6,4,0,2,10,8,2,8
4,Yugoslavia,6,3,0,3,10,7,3,6
5,Hungary,4,2,1,1,8,3,5,5
6,Soviet Union,4,2,1,1,9,7,2,5
7,West Germany,4,2,1,1,4,2,2,5
8,England,4,1,1,2,5,6,−1,3
9,Italy,3,1,1,1,3,2,1,3
10,Argentina,3,1,1,1,2,3,−1,3
11,Mexico,3,1,0,2,3,4,−1,2
12,Spain,3,1,0,2,2,3,−1,2
13,Uruguay,3,1,0,2,4,6,−2,2
14,Colombia,3,0,1,2,5,11,−6,1
15,Bulgaria,3,0,1,2,1,7,−6,1
16,Switzerland,3,0,0,3,2,8,−6,0
