Position,Team,Games Played,Win,Draw,Loss,Goals For,Goals Against,Goal Difference,Points
1,West Germany,7,5,2,0,15,5,10,12
2,Argentina,7,2,3,2,5,4,1,7
3,Italy,7,6,1,0,10,2,8,13
4,England,7,3,3,1,8,6,2,9
5,Yugoslavia,5,3,1,1,8,6,2,7
6,Czechoslovakia,5,3,0,2,10,5,5,6
7,Cameroon,5,3,0,2,7,9,−2,6
8,Republic of Ireland,5,0,4,1,2,3,−1,4
9,Brazil,4,3,0,1,4,2,2,6
10,Spain,4,2,1,1,6,4,2,5
11,Belgium,4,2,0,2,6,4,2,4
12,Romania,4,1,2,1,4,3,1,4
13,Costa Rica,4,2,0,2,4,6,−2,4
14,Colombia,4,1,1,2,4,4,0,3
15,Netherlands,4,0,3,1,3,4,−1,3
16,Uruguay,4,1,1,2,2,5,−3,3
17,Soviet Union,3,1,0,2,4,4,0,2
18,Austria,3,1,0,2,2,3,−1,2
18,Scotland,3,1,0,2,2,3,−1,2
20,Egypt,3,0,2,1,1,2,−1,2
21,Sweden,3,0,0,3,3,6,−3,0
22,South Korea,3,0,0,3,1,6,−5,0
23,United States,3,0,0,3,2,8,−6,0
24,United Arab Emirates,3,0,0,3,2,11,−9,0
